"p","freq","Release","className","graph","Count"
"<http://data.linkedevents.org/def/location#businessType>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://data.linkedevents.org/def/location#cell>",1443,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/atPlace>",1365,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/atTime>",1241,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/hasCategory>",1023,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/inSpace>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/involvedAgent>",34,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://linkedevents.org/ontology/poster>",1414,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://purl.org/dc/elements/1.1/description>",1322,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://purl.org/dc/elements/1.1/issued>",1472,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://purl.org/dc/elements/1.1/publisher>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://purl.org/dc/elements/1.1/subject>",2832,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.3cixty.com/ontology#descriptionScore>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.3cixty.com/ontology#posterScore>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",2818,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.w3.org/2000/01/rdf-schema#label>",1419,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",412,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
"<http://www.w3.org/2002/07/owl#sameAs>",1409,"2016-05-13","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1409
