"p","freq","Release","className","graph","Count"
"<http://3cixty.com/ontology#minDistanceNearestWeatherStation>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://3cixty.com/ontology#nearestWeatherStation>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://data.linkedevents.org/def/location#businessType>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://data.linkedevents.org/def/location#cell>",724,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/atPlace>",424,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/atTime>",490,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/hasCategory>",584,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/inSpace>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/involvedAgent>",42,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://linkedevents.org/ontology/poster>",380,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://purl.org/dc/elements/1.1/description>",650,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://purl.org/dc/elements/1.1/identifier>",453,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://purl.org/dc/elements/1.1/issued>",684,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://purl.org/dc/elements/1.1/publisher>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://purl.org/dc/elements/1.1/subject>",1020,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.3cixty.com/ontology#descriptionScore>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.3cixty.com/ontology#posterScore>",689,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",1378,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.w3.org/2000/01/rdf-schema#label>",686,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",334,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
"<http://www.w3.org/2002/07/owl#sameAs>",439,"2016-09-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",689
