"p","freq","Release","className","graph","Count"
"<http://data.linkedevents.org/def/location#businessType>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://data.linkedevents.org/def/location#cell>",1333,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/atPlace>",1293,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/atTime>",1133,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/hasCategory>",980,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/inSpace>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/involvedAgent>",28,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://linkedevents.org/ontology/poster>",1306,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://purl.org/dc/elements/1.1/description>",1222,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://purl.org/dc/elements/1.1/issued>",1365,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://purl.org/dc/elements/1.1/publisher>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://purl.org/dc/elements/1.1/subject>",2678,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.3cixty.com/ontology#descriptionScore>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.3cixty.com/ontology#posterScore>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",2602,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.w3.org/2000/01/rdf-schema#label>",1312,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",348,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
"<http://www.w3.org/2002/07/owl#sameAs>",1301,"2016-04-09","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1301
