"p","freq","Release","className","graph","Count"
"<http://data.linkedevents.org/def/location#businessType>",1883,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://data.linkedevents.org/def/location#cell>",1926,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/atPlace>",1507,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/atTime>",1715,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/hasCategory>",1446,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/inSpace>",1883,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/involvedAgent>",39,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://linkedevents.org/ontology/poster>",1888,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://purl.org/dc/elements/1.1/description>",1788,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://purl.org/dc/elements/1.1/identifier>",468,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://purl.org/dc/elements/1.1/issued>",2159,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://purl.org/dc/elements/1.1/publisher>",1883,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://purl.org/dc/elements/1.1/subject>",3252,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.3cixty.com/ontology#descriptionScore>",1883,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.3cixty.com/ontology#posterScore>",1883,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",3766,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.w3.org/2000/01/rdf-schema#label>",1894,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",706,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
"<http://www.w3.org/2002/07/owl#sameAs>",1580,"2016-05-27","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",1883
