"p","freq","Release","className","graph","Count"
"<http://data.linkedevents.org/def/location#businessType>",2182,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://data.linkedevents.org/def/location#cell>",2226,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/atPlace>",1632,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/atTime>",2014,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/hasCategory>",1698,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/inSpace>",2182,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/involvedAgent>",266,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://linkedevents.org/ontology/poster>",2187,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://purl.org/dc/elements/1.1/description>",2024,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://purl.org/dc/elements/1.1/identifier>",770,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://purl.org/dc/elements/1.1/issued>",2475,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://purl.org/dc/elements/1.1/publisher>",2182,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://purl.org/dc/elements/1.1/subject>",3762,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.3cixty.com/ontology#descriptionScore>",2182,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.3cixty.com/ontology#posterScore>",2182,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>",4364,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.w3.org/2000/01/rdf-schema#label>",2189,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.w3.org/2000/01/rdf-schema#seeAlso>",851,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
"<http://www.w3.org/2002/07/owl#sameAs>",1777,"2016-06-15","<http://linkedevents.org/ontology/Event>","<http://3cixty.com/nice/places>",2182
